[2026-05-09 20:01:32] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:01:55] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:02:28] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:02:51] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:03:15] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:03:37] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:04:06] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:04:45] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:05:10] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:05:35] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:05:58] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:06:25] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:06:50] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:07:15] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:07:45] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:08:11] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:08:36] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:09:04] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:09:34] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:10:00] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:10:28] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:10:55] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:11:21] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:11:49] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:12:43] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:13:18] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:13:47] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:14:11] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:14:38] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:15:04] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:15:37] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:16:43] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:17:16] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:17:38] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:18:08] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:19:01] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:19:24] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:19:54] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:20:26] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:21:13] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:21:38] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:22:08] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:22:38] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:23:00] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:23:28] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:24:17] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:24:41] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:25:09] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:25:35] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:26:03] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:26:25] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:26:56] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:27:21] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:27:46] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:28:08] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:28:32] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:29:01] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:29:36] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:30:06] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:30:37] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:31:02] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:31:30] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:31:51] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:32:23] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:32:52] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:33:22] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:33:49] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:34:14] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:34:41] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:35:06] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:35:37] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
