total_return,final_value,mdd,sharpe,buys,sells,trades,time_in_market,days_in_market,short_ma,long_ma,base_pct,dip,tranches,entries,exits,dip_buys,annual_trades,tranche_pct
1842.0769927610788,971038.4963805394,-40.637202386863194,0.9008105565301422,18.0,19.0,37,70.19498607242339,1764.0,7,104,,,,18,19,0,3.7025342465753424,
711.7761472192335,405888.0736096167,-28.379371275440867,0.8319120741013526,,,54,,,7,104,0.6,0.05,1.0,18,18,18,5.403698630136986,0.1
760.214215028702,430107.1075143511,-29.65355193788934,0.8310438219745604,,,72,,,7,104,0.6,0.05,2.0,18,18,36,7.204931506849315,0.1
792.6460749437098,446323.0374718549,-31.559640055249144,0.8259830864156218,,,90,,,7,104,0.6,0.05,3.0,18,18,54,9.006164383561643,0.1
649.8934726162464,374946.7363081232,-28.533582177374672,0.8093259669234316,,,54,,,7,104,0.6,0.08,1.0,18,18,18,5.403698630136986,0.1
680.2196407193227,390109.82035966136,-30.490750665522686,0.8042904796642886,,,72,,,7,104,0.6,0.08,2.0,18,18,36,7.204931506849315,0.1
713.142913003624,406571.456501812,-32.122491472193474,0.8017753780817274,,,88,,,7,104,0.6,0.08,3.0,18,18,52,8.806027397260273,0.1
654.886623486933,377443.3117434665,-28.451631510844965,0.8131720599166256,,,53,,,7,104,0.6,0.1,1.0,18,18,17,5.3036301369863015,0.1
692.0276923448607,396013.8461724303,-29.590394889709533,0.8125067055272328,,,70,,,7,104,0.6,0.1,2.0,18,18,34,7.004794520547945,0.1
726.1935077490955,413096.7538745478,-31.141247898844014,0.8119619676189801,,,86,,,7,104,0.6,0.1,3.0,18,18,50,8.605890410958903,0.1
624.9193291902675,362459.66459513374,-28.11058185690307,0.8071070724710433,,,52,,,7,104,0.6,0.15,1.0,18,18,16,5.2035616438356165,0.1
631.9902731602963,365995.13658014813,-28.526072126948055,0.7996828174991049,,,67,,,7,104,0.6,0.15,2.0,18,18,31,6.70458904109589,0.1
