total_return,final_value,mdd,sharpe,buys,sells,trades,time_in_market,days_in_market,short_ma,long_ma
2512.72413202365,1306362.0660118249,-41.230450362822154,1.0392376881141314,127,128,255,63.987266215678474,1608,1,20
1502.6671147724521,801333.557386226,-44.08888396767895,0.9145985087733618,125,126,251,64.02705929168326,1609,1,21
1393.9514763673508,746975.7381836753,-47.12541863324259,0.8970555019627225,122,123,245,63.9474731396737,1607,1,22
1283.581580732317,691790.7903661585,-47.66559030936966,0.8744796772235139,124,125,249,64.1066454436928,1611,1,23
1242.5935603005057,671296.7801502529,-54.18708568084383,0.8658543372231128,119,120,239,64.1066454436928,1611,1,24
742.7210770240766,421360.5385120383,-62.46636093022268,0.7476975449837673,123,124,247,63.9474731396737,1607,1,25
793.0098663652697,446504.9331826348,-63.553180694056465,0.7620212654389232,122,123,245,64.02705929168326,1609,1,26
849.5812654448786,474790.6327224393,-65.68501666131556,0.7750716441743314,117,118,235,64.46478312773577,1620,1,27
1305.6502404379862,702825.120218993,-59.63781374211574,0.8727675839969773,109,110,219,64.424990051731,1619,1,28
1641.0193105514757,870509.6552757379,-62.885505454298084,0.9249400824384469,104,105,209,64.50457620374056,1621,1,29
1273.1540153734943,686577.0076867471,-60.99293467875223,0.867449600660982,107,108,215,64.34540389972145,1617,1,30
1361.0703627540622,730535.181377031,-58.29005039201316,0.8831342599811985,105,106,211,64.46478312773577,1620,1,31
1357.7425858744477,728871.2929372238,-52.241808936963274,0.8828012139206668,104,105,209,64.5841623557501,1623,1,32
1334.8839277893778,717441.963894689,-55.53554678336745,0.8784910721295688,101,102,203,64.70354158376442,1626,1,33
1071.5318905504696,585765.9452752348,-54.151702465380545,0.8286998365439765,99,100,199,64.62395543175488,1624,1,34
1128.1307762906677,614065.3881453339,-51.82142128045106,0.83928337798055,99,100,199,64.70354158376442,1626,1,35
1388.675316575615,744337.6582878075,-53.315922924286205,0.8851513688487194,97,98,195,65.14126541981695,1637,1,36
1518.233947234774,809116.9736173869,-50.25181626578908,0.9059231135204661,95,96,191,65.45961002785515,1645,1,37
1631.3429190686816,865671.4595343408,-54.21109188609054,0.9229760441560649,92,93,185,65.69836848388381,1651,1,38
1174.5299826164683,637264.9913082342,-53.305330511016926,0.842693339918283,95,96,191,66.01671309192201,1659,1,39
1179.9309469803047,639965.4734901524,-52.405054148539534,0.846349800423169,94,95,189,65.93712693991246,1657,1,40
1301.7586303221178,700879.3151610589,-52.17400004921849,0.8683413078892696,92,93,185,66.3350576999602,1667,1,41
1230.0058151549035,665002.9075774518,-52.17400004921851,0.8536301214657384,93,94,187,66.61360923199364,1674,1,42
1737.856917624863,918928.4588124314,-45.81552563853329,0.9373168505050684,89,90,179,66.85236768802228,1680,1,43
1691.7616740161427,895880.8370080714,-48.72623407545589,0.9293142012894997,87,88,175,67.1309192200557,1687,1,44
2019.9825120208686,1059991.2560104344,-48.7262340754559,0.9719774122271645,86,87,173,67.09112614405093,1686,1,45
1790.5873535531807,945293.6767765904,-49.62457175445669,0.9432190687351044,86,87,173,67.09112614405093,1686,1,46
1537.2865193148787,818643.2596574393,-52.690216126720024,0.9071748921192143,90,91,181,67.17071229606049,1688,1,47
2060.448012221542,1080224.0061107709,-46.775665602191744,0.9756788215349403,85,86,171,67.36967767608436,1693,1,48
2002.3988597659184,1051199.4298829592,-46.77566560219177,0.9706397811587488,82,83,165,67.32988460007958,1692,1,49
1530.2837082754231,815141.8541377116,-56.90203353701149,0.9010638907916557,81,82,163,67.72781536012734,1702,1,50
948.4778990574512,524238.9495287256,-63.53789403485527,0.7928626849484247,84,85,169,67.4492638280939,1695,1,51
1105.2242156867535,602612.1078433768,-60.57232954016877,0.8277274042255093,79,80,159,67.40947075208913,1694,1,52
861.0234777244851,480511.7388622426,-62.701730919480084,0.7700020587637304,82,83,165,67.48905690409869,1696,1,53
729.8350209527267,414917.51047636336,-66.4469507693432,0.7328728309204747,81,82,163,66.77278153601274,1678,1,54
684.3047409016572,392152.3704508286,-67.69439081240233,0.7177504585631204,83,84,167,66.77278153601274,1678,1,55
624.9771005769286,362488.5502884643,-69.78040203281904,0.6985437936822092,81,82,163,66.85236768802228,1680,1,56
787.0087277029688,443504.3638514844,-67.58434418459403,0.7489842774842596,78,79,157,66.73298846000796,1677,1,57
835.2273666376602,467613.6833188301,-66.33084309709622,0.7607964349372884,77,78,155,66.89216076402707,1681,1,58
782.7424217165227,441371.21085826133,-66.32606189927311,0.7461435351101731,79,80,159,66.97174691603661,1683,1,59
1128.7580862470513,614379.0431235257,-61.86990561385406,0.8294907874191383,72,73,145,66.93195384003184,1682,1,60
1085.648596455358,592824.2982276791,-61.53974410381659,0.8201092267036121,71,72,143,67.05133306804616,1685,1,61
1071.3845124473276,585692.2562236638,-60.958010359775386,0.8167268951888057,69,70,139,67.09112614405093,1686,1,62
690.5748202141831,395287.41010709153,-64.95825055462308,0.7158038082164697,68,69,137,67.17071229606049,1688,1,63
581.2375075395282,340618.7537697641,-66.56537988770843,0.6782376363675114,71,72,143,67.21050537206527,1689,1,64
569.1644334730258,334582.2167365129,-67.95863278574338,0.6746199205824726,69,70,139,66.89216076402707,1681,1,65
548.9255587850507,324462.7793925254,-67.28211610754796,0.6666747363795966,69,70,139,66.93195384003184,1682,1,66
